transaction_id,items
1,wireless earbuds pro
2,nokia x100 smartwatch
3,nokia x100 smartwatch
4,nokia x100 smartwatch
5,"nokia x100 smartwatch,rog zephyrus gx501,wireless earbuds pro"
6,apple watch series 9
7,"asus tuf gaming f15,nokia x100 smartwatch"
8,nokia x100 smartwatch
9,rog zephyrus gx501
10,"acer nitro 17 nvidia rtx 4060, 16gb, 17.3"" qhd 165hz, intel i7-13700h gaming laptop,xiaomi watch s1 active"
11,wireless earbuds pro
12,"apple airpods pro 2,wireless earbuds pro"
13,"samsung galaxy watch 6,sony wh-1000xm5,xiaomi watch s1 active"
